"Saanich_010"	"Saanich_100"	"Saanich_120"	"Saanich_135"	"Saanich_150"	"Saanich_165"	"Saanich_200"
"Asv234"	0	0	0	0	0	0	48
"Asv235"	0	0	27	0	0	0	0
"Asv236"	0	0	0	0	20	0	0
"Asv237"	0	5	5	46	22	86	0
"Asv238"	20	43	0	0	0	0	0
"Asv239"	0	0	0	12	0	0	0
"Asv240"	0	0	0	0	0	0	152
"Asv241"	60	0	0	0	0	0	0
"Asv242"	0	90	87	0	0	0	0
"Asv243"	0	271	159	74	30	68	0
"Asv244"	0	0	0	6	0	0	0
"Asv245"	0	0	0	0	0	0	27
"Asv246"	28	59	34	0	0	0	0
"Asv247"	0	0	0	0	0	0	22
"Asv248"	0	0	0	0	0	0	4
"Asv249"	762	0	0	42	0	0	0
"Asv250"	0	0	0	0	0	0	98
"Asv251"	0	0	0	0	0	0	59
"Asv252"	38	677	1249	783	638	1954	0
"Asv253"	0	0	0	0	0	0	205
"Asv254"	0	18	0	0	0	0	0
"Asv255"	15	0	0	0	0	0	0
"Asv256"	0	16	50	0	22	0	0
"Asv257"	0	60	46	0	0	0	0
"Asv258"	0	0	0	0	0	0	7
"Asv259"	0	0	0	3	0	0	0
"Asv260"	0	87	69	15	0	0	0
"Asv261"	235	4181	12047	15429	23687	27108	0
"Asv262"	33	0	0	0	0	0	0
"Asv263"	85	115	89	133	66	40	0
"Asv264"	0	15	0	0	0	0	0
"Asv265"	0	0	0	0	0	0	20
"Asv266"	0	0	23	0	40	30	0
"Asv267"	0	0	0	0	88	0	0
"Asv268"	33	405	896	940	771	130	0
"Asv269"	0	64	0	28	0	0	0
"Asv270"	0	0	0	0	0	28	0
"Asv271"	0	0	0	0	0	0	44
"Asv272"	0	0	48	35	34	33	0
"Asv273"	0	0	0	23	0	0	0
"Asv274"	0	0	0	0	0	66	0
"Asv275"	0	0	27	0	0	0	0
"Asv276"	0	112	84	46	31	36	0
"Asv277"	0	0	0	61	85	41	0
"Asv278"	0	0	0	0	0	0	52
"Asv279"	0	16	0	0	11	0	0
"Asv280"	21	0	0	0	0	0	0
"Asv281"	0	0	0	0	0	0	11
"Asv282"	0	0	0	13	16	0	0
"Asv283"	0	0	0	0	15	0	0
"Asv284"	66	392	393	372	370	290	0
"Asv285"	8	0	0	0	0	0	0
"Asv286"	0	0	26	0	0	0	0
"Asv287"	0	0	24	0	0	0	0
"Asv288"	0	0	0	0	0	0	14
"Asv289"	0	11	0	0	0	0	0
"Asv290"	0	0	0	24	10	0	0
"Asv291"	0	17	31	36	0	19	0
"Asv292"	0	125	66	55	29	0	0
"Asv293"	114	0	0	0	0	0	0
"Asv294"	93	0	0	28	0	0	0
"Asv295"	0	20	29	22	0	0	0
"Asv296"	11	0	0	0	0	0	0
"Asv297"	31	0	0	0	0	0	0
"Asv298"	0	0	0	0	0	0	32
"Asv299"	0	0	0	0	0	0	35
"Asv300"	0	0	0	15	0	0	0
"Asv301"	0	29	41	0	0	0	0
"Asv302"	0	0	0	40	48	0	0
"Asv303"	0	0	9	0	0	0	0
"Asv304"	0	0	0	0	30	0	0
"Asv305"	0	12	0	0	0	0	0
"Asv306"	0	0	0	8	0	0	0
"Asv307"	0	0	0	0	24	0	0
"Asv308"	0	94	81	41	24	0	0
"Asv309"	0	64	50	0	0	0	0
"Asv310"	0	0	0	0	0	0	34
"Asv311"	0	0	0	0	24	0	0
"Asv312"	0	40	52	0	0	0	0
"Asv313"	55	0	36	51	0	0	0
"Asv314"	0	0	0	0	7	0	0
"Asv315"	0	0	10	0	0	0	0
"Asv316"	0	11	43	0	56	16	0
"Asv317"	0	4	0	0	0	0	0
"Asv318"	511	216	142	91	37	31	0
"Asv319"	0	0	0	0	0	0	38
"Asv320"	0	0	12	0	0	0	0
"Asv321"	0	0	0	13	0	0	0
"Asv322"	0	12	0	0	0	0	0
"Asv323"	0	64	37	31	0	0	0
"Asv324"	0	32	0	0	0	0	0
"Asv325"	0	99	78	21	24	0	0
"Asv326"	0	0	0	18	0	0	0
"Asv327"	0	0	49	78	75	73	0
"Asv328"	39	122	51	42	23	0	0
"Asv329"	0	8	0	0	0	0	0
"Asv330"	33	0	0	0	0	0	0
"Asv331"	0	0	0	0	0	51	0
"Asv332"	0	0	0	42	0	32	0
"Asv333"	0	46	45	0	0	0	0
"Asv334"	38	0	36	0	21	0	0
"Asv335"	0	0	0	20	14	0	0
"Asv336"	0	0	0	0	0	0	19
"Asv337"	0	15	0	0	0	0	0
"Asv338"	0	78	99	38	78	0	0
"Asv339"	44	0	0	0	0	0	0
"Asv340"	0	37	0	18	19	0	0
"Asv341"	0	4	0	0	0	0	0
"Asv342"	0	0	0	0	0	0	24
"Asv343"	0	0	0	0	0	39	0
"Asv344"	101	0	0	0	0	0	0
"Asv345"	0	0	0	0	0	0	27
"Asv346"	0	0	0	0	16	0	0
"Asv347"	2696	159	127	133	40	0	0
